Record_Number	Date	Agent_Name	Customer_Name	Family_Size	Province	Sales_Amount
11193	2024-09-02	Kenneth	Michael Sanchez	4	Newfoundland and Labrador	2428
11194	2024-09-02	Kenneth	Claire Harper	7	Saskatchewan	3278
11195	2024-09-02	Gloria	Mary Williams	5	New Brunswick	4439
11196	2024-09-02	Anith	Rebecca Richard	7	Prince Edward Island	2310
11197	2024-09-02	Gloria	Natalie Morris	4	British Columbia	3204
11198	2024-09-02	Patricia	Nancy Donaldson MD	6	Newfoundland and Labrador	2582
11199	2024-09-03	Olufemi	Ian May	4	Saskatchewan	1731
11200	2024-09-03	Patricia	Cynthia Little	4	Prince Edward Island	3562
11201	2024-09-03	Patricia	Jennifer Brown	4	Prince Edward Island	3773
11202	2024-09-04	Joy	Todd Ross Jr.	3	British Columbia	1127
11203	2024-09-04	Kenneth	Christopher Lewis	7	Nova Scotia	2333
11204	2024-09-04	Kenneth	Christy Reyes	7	Saskatchewan	4422
11205	2024-09-04	Gloria	Timothy Thomas	2	Prince Edward Island	1722
11206	2024-09-04	Anith	Michael Smith	4	Ontario	2869
11207	2024-09-04	Kenneth	Tyrone Smith	2	Quebec	1605
11208	2024-09-05	Gloria	John Walters	4	Alberta	2284
11209	2024-09-05	Patricia	Stephanie Barajas	7	Alberta	1704
11210	2024-09-05	Olufemi	Lisa George	2	Saskatchewan	4319
11211	2024-09-05	Joy	Matthew Garcia	2	Ontario	4117
11212	2024-09-05	Anith	Kevin Walsh	3	Manitoba	3921
11213	2024-09-05	Joy	Brenda Armstrong	5	New Brunswick	4626
11214	2024-09-05	Kenneth	Melinda Boyd	5	Saskatchewan	3783
11215	2024-09-05	Patricia	Joseph Huang	6	Quebec	1779
11216	2024-09-06	David	William Jordan	7	Prince Edward Island	4406
11217	2024-09-06	Olufemi	Derrick Aguirre	6	Ontario	2670
11218	2024-09-06	Joy	Alex Herrera	5	Saskatchewan	4083
11219	2024-09-06	Anith	Tracy Farmer	3	Alberta	4329
11220	2024-09-07	Olufemi	James Gonzalez	2	Newfoundland and Labrador	2314
11221	2024-09-07	Kenneth	Michael Taylor	5	Ontario	1915
11222	2024-09-07	David	Grace Jones	2	Alberta	3450
11223	2024-09-07	Olufemi	Nathan Arnold	5	British Columbia	1187
11224	2024-09-08	Kenneth	Samuel Ballard	6	Quebec	3647
11225	2024-09-08	Patricia	Darin Mcdonald	6	Newfoundland and Labrador	4700
11226	2024-09-08	Joy	Mary Shaffer	7	Alberta	3791
11227	2024-09-08	Olufemi	Rachael Gonzales	3	Manitoba	4544
11228	2024-09-08	Anith	Alisha Singh	4	New Brunswick	3694
11229	2024-09-08	David	Jennifer Salinas	4	Manitoba	1359
11230	2024-09-08	Gloria	Sara James	6	British Columbia	1792
11231	2024-09-08	David	Holly Schmidt	2	Nova Scotia	1876
11232	2024-09-08	Gloria	Andrea Miranda	4	Newfoundland and Labrador	3804
11233	2024-09-08	Patricia	Joanna Sanchez	4	Prince Edward Island	3050
11234	2024-09-09	Kenneth	Jacob Short	5	Nova Scotia	3761
11235	2024-09-09	Anith	Mariah Collins	2	New Brunswick	1189
11236	2024-09-09	Gloria	Elizabeth Garcia	3	Newfoundland and Labrador	4616
11237	2024-09-09	Anith	Bobby Peterson	6	Quebec	1164
11238	2024-09-10	Gloria	Alexander Davis	7	Alberta	4494
11239	2024-09-10	Anith	Amber Robinson	6	British Columbia	1655
11240	2024-09-10	Gloria	Jennifer Miller	5	Quebec	2547
11241	2024-09-10	Anith	Jared Murray	3	New Brunswick	4584
11242	2024-09-10	Anith	Sheila Bishop	6	British Columbia	4203
11243	2024-09-10	Joy	David Hernandez	3	Quebec	4884
11244	2024-09-10	Kenneth	Carrie Le	7	Quebec	4653
11245	2024-09-10	Gloria	Jose Padilla	2	Manitoba	2801
11246	2024-09-11	Olufemi	Kristin Thompson	4	Saskatchewan	4023
11247	2024-09-11	Kenneth	Scott Peters	2	Newfoundland and Labrador	3697
11248	2024-09-11	Olufemi	Bonnie Schroeder	4	Ontario	2045
11249	2024-09-12	Olufemi	Cindy Lopez	5	Nova Scotia	2274
11250	2024-09-12	Kenneth	Thomas Robinson	4	Nova Scotia	2187
11251	2024-09-12	Olufemi	Charles Shelton	4	Quebec	1014
11252	2024-09-12	Patricia	Kayla Schaefer	4	Prince Edward Island	1164
11253	2024-09-12	Joy	Mandy Ferguson	4	Prince Edward Island	2241
11254	2024-09-12	Patricia	Chris Ramsey	5	Ontario	4978
11255	2024-09-13	Anith	Jessica Leonard	2	Saskatchewan	2132
11256	2024-09-13	Kenneth	Gloria Medina	4	Newfoundland and Labrador	4471
11257	2024-09-13	Patricia	Jerry Johnson	3	Quebec	2018
11258	2024-09-13	David	Angela Jones	7	New Brunswick	2456
11259	2024-09-13	Olufemi	Kelly Flores	3	Newfoundland and Labrador	4749
11260	2024-09-13	Joy	Taylor Foster	3	Manitoba	3832
11261	2024-09-14	Kenneth	Jennifer Merritt	2	Nova Scotia	2455
11262	2024-09-14	Patricia	Brandy Mccoy	5	British Columbia	1806
11263	2024-09-14	Joy	Lindsay Garza	4	New Brunswick	1885
11264	2024-09-14	David	Adam Smith	7	Newfoundland and Labrador	2287
11265	2024-09-14	Anith	Gabrielle Hoffman	7	Manitoba	4262
11266	2024-09-14	Kenneth	Tammy Bishop	4	Newfoundland and Labrador	2771
11267	2024-09-15	Kenneth	Aaron Ramirez	3	Quebec	3673
11268	2024-09-15	Olufemi	Michael Thompson	6	Saskatchewan	1504
11269	2024-09-15	David	Louis Gomez	4	Saskatchewan	1351
11270	2024-09-15	Patricia	Kristi May	7	Newfoundland and Labrador	1011
11271	2024-09-15	Gloria	Joanne Wilson	4	Quebec	1309
11272	2024-09-15	Kenneth	Donna Boyd	4	Ontario	4063
11273	2024-09-16	David	Maurice Collins	4	Nova Scotia	4244
11274	2024-09-16	Joy	Vincent Hensley	3	Saskatchewan	2633
11275	2024-09-16	Olufemi	Dave Decker	4	Ontario	2893
11276	2024-09-16	David	Terry Henry	3	Alberta	3941
11277	2024-09-16	Olufemi	Craig Nguyen	2	British Columbia	4432
11278	2024-09-16	Anith	Angel Pierce	7	New Brunswick	3877
11279	2024-09-16	Kenneth	Leslie Rios	2	British Columbia	3217
11280	2024-09-16	David	Cheryl Fischer	6	Alberta	2476
11281	2024-09-17	Joy	Sarah Kline	3	Ontario	3009
11282	2024-09-17	Joy	Eugene Lyons	7	Ontario	1714
11283	2024-09-17	Kenneth	Matthew Nguyen	7	Nova Scotia	4518
11284	2024-09-17	Patricia	Stephen Hogan	3	New Brunswick	2131
11285	2024-09-17	Kenneth	Audrey Blair	6	New Brunswick	1908
11286	2024-09-17	Anith	Lisa Gregory	5	Alberta	1556
11287	2024-09-17	Kenneth	Stephen Miranda	3	Prince Edward Island	4687
11288	2024-09-17	Joy	James Diaz	5	Newfoundland and Labrador	2091
11289	2024-09-18	David	Ashlee Bauer	2	Manitoba	2930
11290	2024-09-18	Anith	Anna Brown	3	Quebec	1861
11291	2024-09-18	Gloria	Andrea Brown	5	Saskatchewan	1411
11292	2024-09-18	Kenneth	Samantha Cole	5	New Brunswick	3209
11293	2024-09-18	Gloria	Mary Chavez	5	Newfoundland and Labrador	2783
11294	2024-09-18	Olufemi	Terry Ross	4	Manitoba	3561
11295	2024-09-18	Joy	Sherry Carter	7	Ontario	2342
11296	2024-09-18	Gloria	Jeffrey Mathis	2	Alberta	4174
11297	2024-09-18	Anith	Natasha Hoffman	4	British Columbia	3534
11298	2024-09-19	Gloria	Jacob Marshall	7	Prince Edward Island	1553
11299	2024-09-19	David	James Kim MD	3	Newfoundland and Labrador	4288
11300	2024-09-19	David	David Allen DDS	5	Prince Edward Island	2338
11301	2024-09-19	Olufemi	Jason Gallagher	3	Nova Scotia	2458
11302	2024-09-19	Kenneth	Maria Khan	7	Nova Scotia	1880
11303	2024-09-19	Anith	Erin Rhodes	2	Newfoundland and Labrador	1246
11304	2024-09-20	Gloria	Mark Cantrell	6	Alberta	1444
11305	2024-09-20	Olufemi	Robert Morales	7	Newfoundland and Labrador	2527
11306	2024-09-20	Patricia	Mark Hansen	2	Prince Edward Island	3845
11307	2024-09-20	Gloria	James Brown	5	British Columbia	4400
11308	2024-09-20	Joy	Keith Cervantes	2	New Brunswick	2084
11309	2024-09-20	David	Peter Smith	7	Newfoundland and Labrador	4447
11310	2024-09-20	Patricia	Alexandria Archer	7	Nova Scotia	1676
11311	2024-09-20	David	James Oneal	2	Quebec	4497
11312	2024-09-20	Anith	Stephen Burnett	6	New Brunswick	2323
11313	2024-09-20	David	John Harrell	3	Prince Edward Island	1280
11314	2024-09-21	Patricia	Mary Williams MD	4	New Brunswick	1478
11315	2024-09-21	Joy	Deanna Lopez	4	Quebec	2913
11316	2024-09-21	David	Cody Harris	7	British Columbia	1223
11317	2024-09-21	Olufemi	Brittany Stewart	3	Newfoundland and Labrador	2233
11318	2024-09-21	David	Sandy Wilkins	3	Alberta	2747
11319	2024-09-21	Anith	Natalie Hunter	3	Saskatchewan	2172
11320	2024-09-21	Gloria	Kathleen Newman	3	Alberta	3317
11321	2024-09-22	David	Carol Douglas	5	British Columbia	3344
11322	2024-09-22	David	Heather Lane	2	Newfoundland and Labrador	2521
11323	2024-09-22	Olufemi	Karen Nichols	2	Manitoba	3950
11324	2024-09-22	Olufemi	Lori Andrade	3	British Columbia	4844
11325	2024-09-23	Joy	Stephanie Patel	4	Nova Scotia	3832
11326	2024-09-23	Kenneth	Bradley Khan	5	Prince Edward Island	3181
11327	2024-09-23	Patricia	Joseph Welch	3	Alberta	4978
11328	2024-09-23	David	Steven Martin	3	Prince Edward Island	2815
11329	2024-09-23	Gloria	Chloe Lawson	7	Manitoba	2309
11330	2024-09-23	Olufemi	Belinda Foster	7	Nova Scotia	3412
11331	2024-09-23	Patricia	Jason Miller	5	British Columbia	3930
11332	2024-09-23	David	David Johnson	7	British Columbia	1737
11333	2024-09-23	Anith	Richard Sloan	4	Nova Scotia	4851
11334	2024-09-24	Anith	David Lynch	7	Prince Edward Island	4027
11335	2024-09-24	Joy	Sarah Frost	7	Nova Scotia	1054
11336	2024-09-24	Patricia	Phillip Ross	2	Nova Scotia	2822
11337	2024-09-24	Patricia	Jared Burns	7	British Columbia	4963
11338	2024-09-25	Patricia	Melissa Trujillo	5	Prince Edward Island	1510
11339	2024-09-25	Olufemi	Emily Diaz	2	Nova Scotia	1780
11340	2024-09-25	David	Antonio Best	2	Manitoba	3312
11341	2024-09-25	Kenneth	Anne Humphrey	3	Ontario	2308
11342	2024-09-25	Olufemi	Wayne Castillo	7	New Brunswick	4855
11343	2024-09-25	Kenneth	Tammy Thompson	6	British Columbia	2925
11344	2024-09-26	Anith	Taylor Reyes	4	Ontario	3543
11345	2024-09-26	David	Charles Shields	7	New Brunswick	2260
11346	2024-09-26	Joy	Teresa Perez	4	Manitoba	4405
11347	2024-09-26	Joy	Jacob Martin MD	4	Quebec	1451
11348	2024-09-26	Anith	Gail Reyes	4	Alberta	3638
11349	2024-09-26	Gloria	Dana Jimenez	7	Prince Edward Island	1006
11350	2024-09-26	David	Kelly Davies	7	Ontario	1984
11351	2024-09-26	Anith	Austin Bell	7	British Columbia	2046
11352	2024-09-26	Patricia	Anthony Solomon	5	Manitoba	1503
11353	2024-09-26	Olufemi	Sara Fitzpatrick MD	4	Newfoundland and Labrador	3652
11354	2024-09-27	Anith	Tanya Michael	6	British Columbia	2601
11355	2024-09-27	Patricia	Pamela Willis	7	Saskatchewan	3830
11356	2024-09-27	Gloria	Eric Marshall	7	Nova Scotia	1431
11357	2024-09-27	Anith	Julia Reilly	2	Nova Scotia	3383
11358	2024-09-27	Patricia	Douglas Henry	5	British Columbia	3167
11359	2024-09-27	Joy	David Avery	7	Manitoba	2534
11360	2024-09-28	Kenneth	Mr. Justin Coleman	6	Manitoba	4216
11361	2024-09-28	Olufemi	Brittney Chen	2	Saskatchewan	4113
11362	2024-09-28	Olufemi	Brenda Schultz	4	Saskatchewan	2256
11363	2024-09-29	Kenneth	David Sullivan	4	Quebec	2821
11364	2024-09-29	Olufemi	Rebecca Salazar	3	Newfoundland and Labrador	1378
11365	2024-09-29	Kenneth	Jennifer Myers	5	Manitoba	2452
11366	2024-09-29	Gloria	Ivan Hogan	3	Saskatchewan	2929
11367	2024-09-29	Olufemi	Jonathon Ramos	3	Alberta	4583
11368	2024-09-29	Olufemi	Jack Rogers	4	Manitoba	2938
11369	2024-09-29	Kenneth	Kenneth Davis	5	Saskatchewan	4462
11370	2024-09-30	Anith	Tamara Thompson	6	Nova Scotia	4324
11371	2024-09-30	Patricia	Terry Spears	7	Newfoundland and Labrador	3217
11372	2024-09-30	Patricia	Nicole Bryant	5	Newfoundland and Labrador	2003
11373	2024-09-30	Gloria	Kristine Galloway	4	Ontario	4203
11374	2024-10-01	Joy	Kathryn Salazar	2	Nova Scotia	4508
11375	2024-10-01	Anith	Mark Miller	7	Saskatchewan	1334
11376	2024-10-01	Gloria	Alexandra Perez	5	New Brunswick	4162
11377	2024-10-01	David	Laura White	4	Alberta	3522
11378	2024-10-01	David	Mark Gibson	7	Quebec	3925
11379	2024-10-01	David	Tiffany White	3	Manitoba	4797
11380	2024-10-01	Patricia	Kevin Chapman	2	Nova Scotia	2667
11381	2024-10-01	Joy	Timothy Garcia	5	New Brunswick	2300
11382	2024-10-01	Olufemi	Jermaine Hall	6	Quebec	3120
11383	2024-10-01	Olufemi	Daniel Hamilton	6	Prince Edward Island	1305
11384	2024-10-02	David	Pamela Martinez	3	Ontario	3086
11385	2024-10-02	Patricia	Felicia Rubio	4	Alberta	1517
11386	2024-10-02	Gloria	Brian Johnson	4	Manitoba	3301
11387	2024-10-02	Gloria	Mr. Roger Johnson	6	British Columbia	2016
11388	2024-10-02	David	Kevin Johnson	7	Alberta	1081
11389	2024-10-02	David	Connie Rodriguez	7	British Columbia	1998
11390	2024-10-02	Joy	Veronica Thomas	4	Newfoundland and Labrador	1584
11391	2024-10-02	Joy	Gregory Shah	7	Nova Scotia	2989
11392	2024-10-02	Olufemi	Marcus Long	3	Alberta	2770
11393	2024-10-03	Kenneth	Nicholas Daniels	3	Newfoundland and Labrador	1939
11394	2024-10-03	Joy	Anna Jacobs	6	Ontario	3948
11395	2024-10-03	Anith	Mr. Tim Edwards	7	Ontario	4550
11396	2024-10-03	Joy	Tara Aguilar	4	New Brunswick	4167
11397	2024-10-03	Gloria	Felicia Weaver	6	Ontario	3130
11398	2024-10-04	Anith	Joanna Norman	6	Nova Scotia	3368
11399	2024-10-04	Anith	Heather Martinez	7	Manitoba	3938
11400	2024-10-04	Anith	Jeffrey Bruce	7	Quebec	1486
11401	2024-10-05	Kenneth	Becky Rollins	2	Manitoba	3915
11402	2024-10-05	David	Brittney Robertson	7	Ontario	4450
11403	2024-10-05	Joy	Alyssa Allen	3	British Columbia	3506
11404	2024-10-05	David	Christine Ross	7	Alberta	2298
11405	2024-10-05	Kenneth	Tabitha Cook	3	Newfoundland and Labrador	3703
11406	2024-10-06	Anith	Randy Curry	7	Nova Scotia	1233
11407	2024-10-06	Olufemi	Melissa Terry	6	British Columbia	3647
11408	2024-10-06	Joy	Kimberly Garcia	3	New Brunswick	4719
11409	2024-10-06	Gloria	Martha Garcia	7	Manitoba	2682
11410	2024-10-06	Anith	Anthony Green	6	Alberta	4508
11411	2024-10-06	Joy	Vicki Sawyer	5	Nova Scotia	3699
11412	2024-10-06	Gloria	Dr. Lisa Perry	4	Saskatchewan	3597
11413	2024-10-06	Joy	Dennis Martinez	3	British Columbia	4475
11414	2024-10-07	Gloria	Pamela Austin	3	Newfoundland and Labrador	4953
11415	2024-10-07	Joy	Jesse Garcia	4	Nova Scotia	1621
11416	2024-10-07	Joy	Diane Soto	6	Newfoundland and Labrador	4023
11417	2024-10-07	Olufemi	Gavin Scott	4	Ontario	3945
11418	2024-10-07	David	Nichole Logan	2	Manitoba	4910
11419	2024-10-07	Anith	Austin Gilbert	6	Prince Edward Island	4316
11420	2024-10-07	Joy	Amy Downs	7	Quebec	3691
11421	2024-10-07	Patricia	Renee Barker	4	Manitoba	1422
11422	2024-10-08	Kenneth	Jose Short	2	New Brunswick	1240
11423	2024-10-08	Patricia	Timothy Odonnell	3	Manitoba	4657
11424	2024-10-08	Joy	Brandi Jackson	2	Saskatchewan	1074
11425	2024-10-08	David	Marvin Wang	4	Saskatchewan	4805
11426	2024-10-08	Gloria	James Hancock	5	Nova Scotia	2335
11427	2024-10-08	Anith	Amanda Mendoza	3	Nova Scotia	2630
11428	2024-10-08	Patricia	William Fields	3	Manitoba	3750
11429	2024-10-08	Anith	Debra Jones	5	Manitoba	4979
11430	2024-10-08	Kenneth	Miranda Kelly	6	British Columbia	2171
11431	2024-10-09	Anith	Christopher Smith	7	Saskatchewan	4561
11432	2024-10-09	Gloria	James Campbell	2	Prince Edward Island	4834
11433	2024-10-09	Kenneth	Christopher Sutton	5	Manitoba	3945
11434	2024-10-09	David	Lisa Jones	2	Alberta	1168
11435	2024-10-09	Olufemi	Laura Goodman	3	Alberta	2754
11436	2024-10-09	Anith	Julie Snyder	3	Quebec	1942
11437	2024-10-09	Kenneth	Ashlee Travis	4	Newfoundland and Labrador	1303
11438	2024-10-10	Olufemi	Michael Washington	5	Ontario	3405
11439	2024-10-10	Patricia	Teresa Santos	3	British Columbia	3483
11440	2024-10-10	Anith	Kathleen White	6	New Brunswick	1304
11441	2024-10-10	Kenneth	Ashley Stewart	7	British Columbia	2018
11442	2024-10-11	Joy	Hannah Morales	7	Alberta	3941
11443	2024-10-11	Olufemi	Erika Holland	3	Newfoundland and Labrador	4803
11444	2024-10-11	Patricia	Keith Thornton	6	Quebec	3356
11445	2024-10-11	Joy	Walter Lynn	7	Newfoundland and Labrador	2299
11446	2024-10-11	Olufemi	Jeffrey Cochran	2	New Brunswick	1447
11447	2024-10-11	Kenneth	Jerry Keller	5	Ontario	3107
11448	2024-10-12	Olufemi	Mary Barrera	4	Ontario	4197
11449	2024-10-12	Anith	Alan Anderson	6	Ontario	3084
11450	2024-10-12	Gloria	Edward Leonard	2	British Columbia	3666
11451	2024-10-12	Patricia	Joshua Weeks	2	British Columbia	1421
11452	2024-10-12	Joy	Dr. Teresa Lewis MD	3	Prince Edward Island	3822
11453	2024-10-12	David	Sarah Joseph	6	Quebec	2891
11454	2024-10-13	David	Alexis Cameron	6	Saskatchewan	2401
11455	2024-10-13	David	Samantha Park	2	Quebec	4067
11456	2024-10-13	Olufemi	Dustin Lawson	7	Quebec	2749
11457	2024-10-14	Anith	Troy Lindsey	3	Saskatchewan	2252
11458	2024-10-14	Kenneth	Tyrone Brewer	7	Saskatchewan	3557
11459	2024-10-14	Joy	Maria Gonzalez	6	Nova Scotia	4474
11460	2024-10-14	Gloria	Jamie Lopez	4	Quebec	4516
11461	2024-10-14	Joy	John Hooper	4	Ontario	3893
11462	2024-10-14	Anith	Catherine Lambert	5	Saskatchewan	2067
11463	2024-10-14	Olufemi	Cynthia Dickerson	3	Ontario	1004
11464	2024-10-14	Joy	Chad Green	6	Prince Edward Island	4364
11465	2024-10-14	Gloria	Adrian Martin	2	Saskatchewan	3442
11466	2024-10-14	David	Colleen Fitzpatrick	7	Quebec	3002
11467	2024-10-15	David	Ryan Mcgee	2	Quebec	1500
11468	2024-10-15	Anith	Christina Flowers	2	Newfoundland and Labrador	1894
11469	2024-10-15	Anith	Shirley Combs	7	New Brunswick	3027
11470	2024-10-15	David	Michelle Wheeler	4	Quebec	3733
11471	2024-10-15	Anith	Jacob Mcguire	2	Nova Scotia	1830
11472	2024-10-15	Joy	Donna Hubbard	6	Prince Edward Island	3973
11473	2024-10-15	Joy	Michael Fowler	5	Prince Edward Island	1685
11474	2024-10-15	Gloria	Cesar Medina	7	Newfoundland and Labrador	3462
11475	2024-10-15	David	Clinton Simon	6	Saskatchewan	4928
11476	2024-10-16	Olufemi	Eric Gibson	4	Manitoba	1959
11477	2024-10-16	Gloria	David Williams	2	New Brunswick	2247
11478	2024-10-16	Gloria	Daniel Green	6	New Brunswick	2632
11479	2024-10-16	Patricia	Crystal Mckenzie	7	Prince Edward Island	2996
11480	2024-10-16	Anith	Victor Johnson	4	Newfoundland and Labrador	4591
11481	2024-10-17	Gloria	Benjamin Lucas	3	Saskatchewan	1686
11482	2024-10-17	Anith	Erin Nelson	7	British Columbia	4167
11483	2024-10-17	Anith	Charles George	2	Prince Edward Island	2664
11484	2024-10-17	Patricia	Eric Rodriguez	2	Ontario	3910
11485	2024-10-17	Patricia	David Noble	5	Nova Scotia	2214
11486	2024-10-17	David	Pamela Ware	3	New Brunswick	4043
11487	2024-10-17	Patricia	David Morgan	2	Prince Edward Island	3109
11488	2024-10-17	Gloria	Nathan Scott	3	Alberta	3030
11489	2024-10-17	David	Laurie Cantrell	7	Nova Scotia	1233
11490	2024-10-17	Anith	Cindy Barnes	7	Nova Scotia	1494
11491	2024-10-18	Anith	Stacey Schaefer	4	Nova Scotia	1138
11492	2024-10-18	Joy	Michael Adams	2	Prince Edward Island	3951
11493	2024-10-18	David	Thomas Macias	2	Newfoundland and Labrador	4637
11494	2024-10-18	Gloria	Julie Hernandez	6	Manitoba	3985
11495	2024-10-18	Kenneth	Scott Costa	6	Saskatchewan	3484
11496	2024-10-18	Olufemi	Philip Daugherty	7	Nova Scotia	3946
11497	2024-10-19	Anith	Michael Stone	7	Alberta	3764
11498	2024-10-19	Gloria	Theresa Allen	5	New Brunswick	4059
11499	2024-10-19	David	Jacob Montoya	7	Nova Scotia	1779
11500	2024-10-19	Gloria	Tiffany Luna	7	British Columbia	4385
11501	2024-10-20	Patricia	Jason Sims	7	Saskatchewan	2706
11502	2024-10-20	David	Donna Thompson	2	Nova Scotia	4990
11503	2024-10-20	David	Hannah Blair	7	Ontario	1129
11504	2024-10-20	Gloria	Seth Anderson	6	Alberta	1077
11505	2024-10-20	Joy	Steven Parker	7	Ontario	1492
11506	2024-10-20	Patricia	Russell Jones	5	Alberta	3411
11507	2024-10-21	Gloria	Hannah Barnett	7	Ontario	3633
11508	2024-10-21	Anith	Christopher Pham	6	Manitoba	4905
11509	2024-10-21	Patricia	Michael Brown	3	Ontario	3090
11510	2024-10-21	Joy	Madeline Rose	5	Quebec	2358
11511	2024-10-21	Joy	Teresa Schmidt	3	British Columbia	1617
11512	2024-10-21	Joy	Matthew Odom	3	Ontario	3640
11513	2024-10-21	Anith	Julie Munoz	4	Newfoundland and Labrador	1188
11514	2024-10-21	Kenneth	Scott Martinez	3	Prince Edward Island	4013
11515	2024-10-21	David	Zachary Aguirre	7	British Columbia	3611
11516	2024-10-22	Joy	William Clark	7	Alberta	4408
11517	2024-10-22	Patricia	Deborah Price	5	British Columbia	3011
11518	2024-10-22	Gloria	Joseph Sanchez	4	Manitoba	2711
11519	2024-10-23	Kenneth	Katherine Pittman	4	Manitoba	2209
11520	2024-10-23	Patricia	Brandy Brown	5	Nova Scotia	4614
11521	2024-10-23	Olufemi	David West	5	Prince Edward Island	2326
11522	2024-10-23	David	Angel Davis	6	Newfoundland and Labrador	2893
11523	2024-10-23	Joy	Benjamin Weiss	4	Manitoba	3629
11524	2024-10-23	Gloria	Shane Moss	7	British Columbia	1773
11525	2024-10-23	Olufemi	Marc Medina	3	Saskatchewan	2345
11526	2024-10-23	Olufemi	Miranda Li	2	New Brunswick	3150
11527	2024-10-23	Patricia	Joseph Johnson	4	New Brunswick	1860
11528	2024-10-24	Joy	Stephanie Bernard	7	Ontario	1409
11529	2024-10-24	David	Phillip Wheeler	2	Nova Scotia	1567
11530	2024-10-24	Olufemi	Monica Rice	4	Ontario	3511
11531	2024-10-24	Anith	Jason Watts	4	Manitoba	4846
11532	2024-10-24	Kenneth	Stacy Adams	3	Prince Edward Island	1236
11533	2024-10-24	Gloria	Anthony Campbell	4	Prince Edward Island	2629
11534	2024-10-24	Olufemi	Troy Johnson	4	Manitoba	4396
11535	2024-10-24	Olufemi	Nancy Yoder	3	Saskatchewan	3527
11536	2024-10-25	Patricia	Andrew Gray	7	Alberta	4735
11537	2024-10-25	Olufemi	John Carrillo	6	Newfoundland and Labrador	2376
11538	2024-10-25	Joy	Lori Wu	2	Prince Edward Island	3964
11539	2024-10-25	Anith	Kimberly Martin DVM	6	British Columbia	3430
11540	2024-10-25	Patricia	Nicole Anderson	2	New Brunswick	2042
11541	2024-10-25	Anith	Eugene Lane	5	Alberta	3148
11542	2024-10-25	Gloria	Christina Bradshaw	5	Prince Edward Island	2150
11543	2024-10-26	Joy	Tyler Johnson	5	Newfoundland and Labrador	1220
11544	2024-10-26	Anith	Richard Richardson	2	Nova Scotia	4675
11545	2024-10-26	Kenneth	Scott Gonzalez	4	Prince Edward Island	2605
11546	2024-10-26	Anith	Jamie Moore	3	British Columbia	3872
11547	2024-10-26	Joy	Karen Ewing	3	Saskatchewan	3741
